Date,Less than HS,High school,Some college,Bachelor's degree,Advanced degree,Less than HS Share,High school Share,Some college Share,Bachelor's degree Share,Advanced degree Share,Men Less than HS,Men High school,Men Some college,Men Bachelor's degree,Men Advanced degree,Men Less than HS Share,Men High school Share,Men Some college Share,Men Bachelor's degree Share,Men Advanced degree Share,Women Less than HS,Women High school,Women Some college,Women Bachelor's degree,Women Advanced degree,Women Less than HS Share,Women High school Share,Women Some college Share,Women Bachelor's degree Share,Women Advanced degree Share,White Less than HS,White High school,White Some college,White Bachelor's degree,White Advanced degree,White Less than HS Share,White High school Share,White Some college Share,White Bachelor's degree Share,White Advanced degree Share,Black Less than HS,Black High school,Black Some college,Black Bachelor's degree,Black Advanced degree,Black Less than HS Share,Black High school Share,Black Some college Share,Black Bachelor's degree Share,Black Advanced degree Share,Hispanic Less than HS,Hispanic High school,Hispanic Some college,Hispanic Bachelor's degree,Hispanic Advanced degree,Hispanic Less than HS Share,Hispanic High school Share,Hispanic Some college Share,Hispanic Bachelor's degree Share,Hispanic Advanced degree Share,White Men Less than HS,White Men High school,White Men Some college,White Men Bachelor's degree,White Men Advanced degree,White Men Less than HS Share,White Men High school Share,White Men Some college Share,White Men Bachelor's degree Share,White Men Advanced degree Share,Black Men Less than HS,Black Men High school,Black Men Some college,Black Men Bachelor's degree,Black Men Advanced degree,Black Men Less than HS Share,Black Men High school Share,Black Men Some college Share,Black Men Bachelor's degree Share,Black Men Advanced degree Share,Hispanic Men Less than HS,Hispanic Men High school,Hispanic Men Some college,Hispanic Men Bachelor's degree,Hispanic Men Advanced degree,Hispanic Men Less than HS Share,Hispanic Men High school Share,Hispanic Men Some college Share,Hispanic Men Bachelor's degree Share,Hispanic Men Advanced degree Share,White Women Less than HS,White Women High school,White Women Some college,White Women Bachelor's degree,White Women Advanced degree,White Women Less than HS Share,White Women High school Share,White Women Some college Share,White Women Bachelor's degree Share,White Women Advanced degree Share,Black Women Less than HS,Black Women High school,Black Women Some college,Black Women Bachelor's degree,Black Women Advanced degree,Black Women Less than HS Share,Black Women High school Share,Black Women Some college Share,Black Women Bachelor's degree Share,Black Women Advanced degree Share,Hispanic Women Less than HS,Hispanic Women High school,Hispanic Women Some college,Hispanic Women Bachelor's degree,Hispanic Women Advanced degree,Hispanic Women Less than HS Share,Hispanic Women High school Share,Hispanic Women Some college Share,Hispanic Women Bachelor's degree Share,Hispanic Women Advanced degree Share
2012,14.80,20.50,22.56,36.76,48.47,0.09,0.27,0.30,0.22,0.12,16.15,22.65,25.05,42.25,56.26,0.11,0.29,0.28,0.21,0.11,12.72,17.82,20.26,31.45,40.83,0.07,0.25,0.32,0.23,0.12,15.28,21.77,23.63,37.85,49.43,0.05,0.26,0.31,0.25,0.13,13.12,17.92,19.77,31.08,40.89,0.07,0.32,0.35,0.17,0.08,14.79,18.37,20.55,31.28,43.47,0.28,0.31,0.26,0.11,0.04,16.96,24.26,26.43,43.72,57.80,0.06,0.29,0.29,0.24,0.12,14.12,19.28,21.24,33.50,46.59,0.08,0.36,0.34,0.15,0.07,15.91,19.76,22.35,35.33,48.50,0.33,0.32,0.22,0.09,0.04,12.95,18.59,20.96,31.96,41.14,0.04,0.24,0.33,0.26,0.13,12.20,16.52,18.66,29.43,37.46,0.07,0.29,0.37,0.18,0.09,12.61,16.41,18.78,27.58,38.91,0.22,0.30,0.30,0.13,0.05
2011,14.96,20.67,22.90,36.44,47.56,0.09,0.28,0.30,0.22,0.11,16.16,22.81,25.34,41.41,54.15,0.11,0.30,0.28,0.20,0.11,13.07,18.01,20.64,31.63,41.18,0.08,0.26,0.32,0.23,0.12,15.18,21.89,23.83,37.43,48.29,0.05,0.27,0.31,0.24,0.13,14.04,17.84,19.84,31.86,40.10,0.08,0.33,0.35,0.17,0.08,14.96,18.55,21.17,31.41,43.99,0.29,0.32,0.25,0.10,0.04,16.91,24.43,26.56,42.79,55.19,0.06,0.29,0.29,0.24,0.12,14.66,19.07,21.31,33.82,43.52,0.09,0.37,0.32,0.15,0.07,15.87,19.90,22.80,34.57,48.76,0.34,0.32,0.22,0.09,0.03,12.91,18.76,21.26,32.08,41.60,0.05,0.25,0.33,0.25,0.13,13.40,16.56,18.80,30.49,38.01,0.07,0.29,0.37,0.18,0.09,13.06,16.56,19.44,28.19,39.59,0.23,0.31,0.29,0.12,0.05
2010,15.04,21.06,23.56,37.42,48.80,0.10,0.28,0.30,0.22,0.11,16.32,23.28,26.24,42.71,55.87,0.11,0.30,0.27,0.21,0.11,13.08,18.43,21.16,32.33,41.73,0.08,0.26,0.32,0.23,0.11,15.20,22.11,24.46,38.62,49.58,0.05,0.28,0.31,0.24,0.13,14.40,18.45,20.88,31.64,39.30,0.09,0.33,0.35,0.17,0.08,15.00,19.27,21.53,32.84,47.29,0.30,0.31,0.24,0.11,0.04,17.00,24.74,27.46,44.36,57.29,0.06,0.29,0.29,0.24,0.12,15.19,19.61,22.62,33.28,41.67,0.10,0.36,0.33,0.15,0.07,16.02,20.87,23.43,37.49,52.64,0.35,0.32,0.20,0.09,0.04,12.86,19.02,21.73,32.91,41.96,0.05,0.26,0.32,0.24,0.13,13.63,17.33,19.61,30.53,37.74,0.08,0.30,0.36,0.18,0.08,12.89,16.85,19.65,28.39,41.27,0.24,0.30,0.29,0.13,0.05
2009,15.41,21.42,23.82,37.30,49.12,0.10,0.28,0.30,0.21,0.11,16.91,23.74,26.75,43.04,56.35,0.12,0.30,0.27,0.20,0.11,13.14,18.70,21.22,31.84,41.80,0.08,0.27,0.32,0.22,0.11,15.62,22.51,24.73,38.39,49.80,0.06,0.28,0.31,0.24,0.12,14.07,18.69,20.82,31.42,41.35,0.09,0.33,0.35,0.16,0.07,15.50,19.49,21.93,33.64,46.38,0.31,0.31,0.23,0.10,0.04,17.67,25.28,27.97,44.76,57.64,0.07,0.29,0.29,0.23,0.12,15.00,20.15,22.19,33.98,44.31,0.10,0.37,0.32,0.15,0.07,16.62,20.86,24.29,37.94,50.66,0.36,0.32,0.20,0.09,0.04,12.92,19.31,21.78,32.18,41.95,0.05,0.26,0.33,0.24,0.12,13.23,17.26,19.88,29.59,39.37,0.09,0.30,0.37,0.17,0.08,13.24,17.43,19.63,29.44,41.34,0.25,0.30,0.29,0.13,0.04
2008,15.08,20.93,23.52,37.04,47.55,0.11,0.29,0.29,0.21,0.10,16.56,23.30,26.32,42.34,54.06,0.12,0.30,0.27,0.20,0.10,12.80,18.09,20.99,31.83,40.90,0.09,0.27,0.32,0.22,0.11,15.25,22.01,24.37,38.09,48.15,0.06,0.28,0.31,0.23,0.12,13.69,18.05,20.60,31.33,40.21,0.10,0.34,0.33,0.16,0.07,15.31,19.14,21.85,32.62,43.09,0.32,0.31,0.24,0.10,0.04,17.22,24.78,27.52,44.01,54.98,0.07,0.30,0.29,0.23,0.12,14.69,19.42,22.05,32.45,42.87,0.11,0.38,0.31,0.15,0.06,16.38,20.73,23.81,36.61,48.34,0.37,0.32,0.20,0.08,0.03,12.58,18.74,21.47,32.08,41.32,0.06,0.26,0.33,0.24,0.12,12.78,16.69,19.55,30.50,38.24,0.10,0.31,0.35,0.17,0.07,13.02,16.70,19.86,28.68,37.34,0.25,0.30,0.29,0.12,0.05
2007,15.19,21.04,23.84,37.23,47.31,0.11,0.29,0.29,0.20,0.10,16.60,23.39,26.66,42.55,53.61,0.13,0.31,0.27,0.19,0.10,12.96,18.26,21.25,31.96,40.68,0.09,0.28,0.31,0.21,0.10,15.36,22.10,24.70,38.32,48.10,0.07,0.29,0.30,0.23,0.11,14.23,18.26,21.16,30.95,40.06,0.11,0.35,0.32,0.16,0.07,15.30,19.20,21.93,33.05,44.75,0.34,0.31,0.22,0.10,0.04,17.08,24.83,27.85,44.26,55.17,0.08,0.31,0.29,0.22,0.11,15.41,19.36,22.59,32.47,41.87,0.11,0.37,0.30,0.15,0.06,16.45,20.78,23.92,36.14,49.20,0.40,0.31,0.18,0.08,0.03,13.04,18.84,21.74,32.34,40.71,0.06,0.27,0.32,0.23,0.11,13.08,17.22,20.07,29.77,38.75,0.10,0.33,0.34,0.16,0.07,12.76,16.91,19.94,29.81,40.13,0.26,0.31,0.27,0.12,0.04
2006,14.90,21.17,23.69,36.99,47.23,0.12,0.30,0.29,0.20,0.10,16.31,23.55,26.39,41.97,53.50,0.14,0.31,0.27,0.19,0.10,12.71,18.32,21.22,32.08,40.46,0.10,0.28,0.32,0.21,0.10,15.08,22.17,24.53,38.03,47.96,0.08,0.29,0.31,0.22,0.11,14.05,18.52,21.09,31.95,40.49,0.12,0.34,0.32,0.15,0.06,14.91,19.15,21.74,31.61,42.67,0.35,0.31,0.22,0.09,0.04,17.02,24.96,27.52,43.55,54.80,0.08,0.31,0.29,0.21,0.11,14.85,20.08,22.65,33.84,44.14,0.13,0.37,0.30,0.14,0.06,15.98,20.61,23.77,34.39,45.71,0.40,0.31,0.19,0.08,0.03,12.41,18.89,21.72,32.44,40.59,0.07,0.28,0.33,0.22,0.11,13.25,17.02,19.94,30.53,38.06,0.11,0.32,0.34,0.16,0.07,12.68,16.90,19.62,28.80,38.93,0.28,0.30,0.27,0.11,0.04
2005,14.96,21.07,23.76,36.89,47.09,0.12,0.30,0.29,0.19,0.10,16.46,23.34,26.49,41.96,53.29,0.14,0.31,0.27,0.19,0.10,12.64,18.41,21.25,31.82,40.39,0.10,0.29,0.32,0.20,0.10,15.19,22.09,24.60,38.11,47.60,0.08,0.30,0.31,0.21,0.11,13.90,18.46,20.69,31.12,40.20,0.11,0.36,0.32,0.15,0.06,15.01,18.97,21.83,31.79,43.06,0.36,0.30,0.22,0.09,0.03,17.14,24.75,27.62,43.69,54.19,0.08,0.31,0.29,0.21,0.11,14.90,19.88,22.05,33.60,43.30,0.13,0.39,0.30,0.14,0.05,16.13,20.30,23.83,34.73,47.16,0.41,0.30,0.19,0.08,0.03,12.54,19.00,21.79,32.33,40.48,0.07,0.28,0.33,0.22,0.11,12.90,17.07,19.69,29.25,38.33,0.11,0.33,0.34,0.15,0.07,12.64,16.96,19.73,28.61,38.19,0.29,0.30,0.27,0.11,0.04
2004,15.13,21.33,24.11,36.78,47.48,0.12,0.30,0.29,0.19,0.10,16.66,23.74,27.03,41.74,53.92,0.14,0.31,0.27,0.19,0.10,12.77,18.59,21.46,31.66,40.32,0.10,0.29,0.32,0.20,0.09,15.26,22.31,24.97,37.76,48.14,0.08,0.30,0.30,0.22,0.11,14.13,18.92,21.26,32.15,40.01,0.11,0.36,0.32,0.15,0.06,15.21,19.07,22.03,32.37,41.98,0.36,0.30,0.22,0.09,0.03,17.09,25.15,28.26,43.28,55.06,0.09,0.31,0.28,0.22,0.11,15.58,20.40,22.96,34.66,42.35,0.12,0.39,0.29,0.14,0.05,16.38,20.34,23.92,34.85,46.33,0.41,0.30,0.19,0.08,0.03,12.74,19.12,21.93,31.88,40.47,0.07,0.29,0.33,0.22,0.11,12.81,17.51,20.01,30.28,38.36,0.11,0.34,0.33,0.16,0.06,12.69,17.24,20.08,29.68,37.50,0.29,0.30,0.27,0.11,0.04
2003,15.27,21.50,24.19,37.14,46.79,0.12,0.30,0.29,0.19,0.09,16.79,23.89,27.04,42.18,52.49,0.14,0.31,0.27,0.19,0.10,12.97,18.85,21.60,32.00,40.38,0.10,0.30,0.32,0.20,0.09,15.49,22.38,24.96,38.38,47.70,0.08,0.30,0.30,0.21,0.10,14.77,19.18,21.64,31.53,38.38,0.12,0.35,0.33,0.15,0.06,15.19,19.39,21.99,32.35,41.33,0.37,0.30,0.22,0.09,0.03,17.44,25.11,28.20,43.94,53.85,0.09,0.31,0.28,0.21,0.11,16.55,20.87,23.21,32.26,39.33,0.13,0.38,0.31,0.14,0.05,16.23,20.80,23.82,35.77,45.53,0.42,0.30,0.18,0.08,0.03,12.84,19.40,22.00,32.42,40.85,0.07,0.30,0.32,0.21,0.10,13.13,17.59,20.45,31.02,37.78,0.12,0.33,0.34,0.16,0.06,13.04,17.38,20.13,28.66,35.91,0.30,0.30,0.26,0.10,0.03
2002,15.18,21.39,24.25,37.26,47.36,0.12,0.31,0.29,0.19,0.09,16.70,23.92,27.10,42.36,53.17,0.14,0.31,0.27,0.19,0.09,12.93,18.59,21.59,32.01,40.55,0.10,0.30,0.31,0.19,0.09,15.48,22.37,25.15,38.47,47.87,0.08,0.31,0.30,0.21,0.10,14.47,18.75,21.25,31.68,40.62,0.13,0.35,0.33,0.14,0.05,15.05,18.97,22.11,31.47,42.54,0.37,0.30,0.22,0.09,0.03,17.41,25.28,28.33,43.98,53.91,0.09,0.31,0.28,0.21,0.11,16.04,20.12,22.74,33.88,43.28,0.14,0.38,0.31,0.13,0.05,16.17,20.67,24.10,34.30,46.80,0.42,0.30,0.19,0.08,0.03,12.92,19.18,22.12,32.58,40.77,0.07,0.30,0.32,0.21,0.10,12.84,17.41,20.15,30.11,38.80,0.12,0.33,0.35,0.15,0.06,12.80,16.66,20.03,28.39,37.85,0.30,0.31,0.26,0.10,0.03
2001,14.88,21.10,24.05,37.07,46.23,0.13,0.31,0.29,0.18,0.09,16.23,23.67,27.12,42.14,51.54,0.15,0.31,0.27,0.18,0.09,12.90,18.28,21.18,31.72,39.94,0.11,0.31,0.31,0.19,0.08,15.17,22.03,24.93,38.13,46.87,0.09,0.31,0.30,0.20,0.10,14.03,18.51,20.99,31.42,39.68,0.13,0.36,0.33,0.14,0.05,14.80,18.85,21.86,32.18,39.53,0.38,0.30,0.21,0.08,0.03,16.90,25.00,28.34,43.59,52.38,0.09,0.31,0.29,0.21,0.10,15.03,20.12,22.80,33.27,43.21,0.14,0.39,0.30,0.13,0.05,15.76,20.34,23.83,35.28,42.04,0.43,0.29,0.19,0.07,0.03,12.88,18.79,21.67,32.14,40.36,0.08,0.31,0.32,0.20,0.10,13.04,16.97,19.70,30.11,37.22,0.12,0.33,0.35,0.15,0.06,12.83,16.88,19.71,28.71,36.79,0.31,0.32,0.25,0.09,0.04
2000,14.67,20.80,23.68,36.44,45.99,0.13,0.31,0.29,0.18,0.09,16.13,23.48,26.78,41.41,51.48,0.15,0.31,0.27,0.18,0.09,12.52,17.87,20.76,31.19,39.36,0.11,0.31,0.31,0.19,0.08,14.92,21.67,24.45,37.46,46.57,0.09,0.31,0.30,0.20,0.10,14.10,18.36,20.99,31.00,40.75,0.13,0.36,0.32,0.13,0.05,14.54,18.50,21.58,31.02,41.42,0.38,0.30,0.21,0.08,0.03,16.72,24.80,27.86,42.90,52.25,0.10,0.31,0.28,0.20,0.10,15.26,19.98,22.90,32.07,45.84,0.14,0.39,0.30,0.12,0.05,15.68,19.92,23.57,33.68,46.32,0.43,0.29,0.19,0.07,0.03,12.51,18.29,21.18,31.44,39.68,0.08,0.31,0.32,0.20,0.09,12.95,16.81,19.59,30.18,36.87,0.12,0.34,0.34,0.14,0.06,12.29,16.53,19.38,28.28,35.66,0.31,0.31,0.25,0.10,0.03
